step,D1_token_exact,D1_normalized_exact,D1_type_aware,D1_valid,D1_eos,D2_token_exact,D2_normalized_exact,D2_type_aware,D2_valid,D2_boundary_sequence,D2_THINK_END_first,D2_ANSWER_marker,D3_THINK_started,D3_mean_THINK,D3_THINK_termination,D3_boundary_sequence,D3_valid,D3_malformed,D3_stop
25,0.0,0.0,0.0,0.6875,0.6875,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.09375
50,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.03125,0.34375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1875
75,0.0625,0.0625,0.09375,0.5625,0.5625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125
100,0.1875,0.1875,0.1875,0.78125,0.78125,0.1875,0.1875,0.1875,0.78125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125
125,0.28125,0.28125,0.28125,0.78125,0.78125,0.28125,0.28125,0.28125,0.78125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15625
150,0.34375,0.34375,0.34375,0.71875,0.71875,0.34375,0.34375,0.34375,0.71875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,1.0,1.0,0.15625
175,0.375,0.375,0.375,0.78125,0.78125,0.34375,0.34375,0.34375,0.78125,0.96875,0.96875,0.96875,0.0,0.0,0.0,0.0,1.0,1.0,0.125
200,0.40625,0.40625,0.40625,0.84375,0.84375,0.28125,0.28125,0.28125,0.71875,0.71875,0.71875,0.71875,0.0,0.0,0.0,0.0,1.0,1.0,0.09375
225,0.4375,0.4375,0.4375,0.71875,0.71875,0.40625,0.40625,0.40625,0.71875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,1.0,1.0,0.1875
250,0.4375,0.4375,0.4375,0.78125,0.78125,0.40625,0.40625,0.40625,0.8125,0.9375,0.9375,0.9375,0.0,0.0,0.0,0.0,1.0,1.0,0.15625
275,0.46875,0.46875,0.46875,0.90625,0.90625,0.46875,0.46875,0.46875,0.90625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15625
300,0.5,0.5,0.53125,0.875,0.875,0.5,0.5,0.53125,0.875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1875
325,0.53125,0.53125,0.5625,0.8125,0.8125,0.53125,0.53125,0.5625,0.8125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15625
350,0.5625,0.5625,0.59375,0.875,0.875,0.5625,0.5625,0.59375,0.875,0.96875,0.96875,0.96875,0.0,0.0,0.0,0.0,1.0,1.0,0.125
375,0.65625,0.65625,0.65625,0.90625,0.90625,0.4375,0.4375,0.4375,0.65625,0.6875,0.6875,0.6875,0.0,0.0,0.0,0.0,1.0,1.0,0.15625
400,0.65625,0.65625,0.65625,0.84375,0.84375,0.65625,0.65625,0.65625,0.84375,0.96875,0.96875,0.96875,0.0,0.0,0.0,0.0,1.0,1.0,0.09375
425,0.6875,0.6875,0.6875,0.8125,0.8125,0.5625,0.5625,0.5625,0.8125,0.875,0.875,0.875,0.0,0.0,0.0,0.0,1.0,1.0,0.21875
450,0.78125,0.78125,0.78125,0.9375,0.9375,0.78125,0.78125,0.78125,0.9375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125
475,0.8125,0.8125,0.8125,0.875,0.875,0.8125,0.8125,0.8125,0.875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.125
500,0.8125,0.8125,0.8125,0.875,0.875,0.78125,0.78125,0.78125,0.875,0.9375,0.9375,0.9375,0.0,0.0,0.0,0.0,1.0,1.0,0.09375
